2018/09/18 14:29:18 [router.go:797] [D] | GET        | /status                                  | 12.09108ms       | match      | /status                                  | 
2018/09/18 14:29:18 [router.go:797] [D] | GET        | /status                                  | 12.929995ms      | match      | /status                                  | 
2018/09/18 14:29:47 [router.go:797] [D] | GET        | /status                                  | 191.051µs        | match      | /status                                  | 
2018/09/18 14:29:47 [router.go:797] [D] | GET        | /status                                  | 230.439µs        | match      | /status                                  | 
2018/09/18 14:30:02 [router.go:797] [D] | GET        | /status                                  | 151.53µs         | match      | /status                                  | 
2018/09/18 14:30:02 [router.go:797] [D] | GET        | /status                                  | 859.408µs        | match      | /status                                  | 
2018/09/18 14:49:14 [router.go:797] [D] | GET        | /status                                  | 146.909µs        | match      | /status                                  | 
2018/09/18 14:49:14 [router.go:797] [D] | GET        | /status                                  | 210.837µs        | match      | /status                                  | 
2018/09/18 14:49:56 [router.go:797] [D] | GET        | /status                                  | 76.913µs         | match      | /status                                  | 
2018/09/18 14:49:56 [router.go:797] [D] | GET        | /status                                  | 188.197µs        | match      | /status                                  | 
2018/09/18 14:50:15 [router.go:797] [D] | GET        | /status                                  | 143.89µs         | match      | /status                                  | 
2018/09/18 14:50:15 [router.go:797] [D] | GET        | /status                                  | 11.696135ms      | match      | /status                                  | 
2018/09/18 14:50:29 [router.go:797] [D] | GET        | /status                                  | 80.091µs         | match      | /status                                  | 
2018/09/18 14:50:29 [router.go:797] [D] | GET        | /status                                  | 3.228357ms       | match      | /status                                  | 
2018/09/18 14:52:07 [router.go:797] [D] | GET        | /status                                  | 227.208µs        | match      | /status                                  | 
2018/09/18 14:52:07 [router.go:797] [D] | GET        | /status                                  | 252.394µs        | match      | /status                                  | 
2018/09/18 14:52:24 [router.go:797] [D] | GET        | /status                                  | 817.708µs        | match      | /status                                  | 
2018/09/18 14:52:24 [router.go:797] [D] | GET        | /status                                  | 681.747µs        | match      | /status                                  | 
2018/09/18 14:55:43 [router.go:797] [D] | GET        | /status                                  | 116.291µs        | match      | /status                                  | 
2018/09/18 14:55:44 [router.go:797] [D] | GET        | /status                                  | 150.549µs        | match      | /status                                  | 
2018/09/18 14:56:05 [router.go:797] [D] | GET        | /status                                  | 86.915µs         | match      | /status                                  | 
2018/09/18 14:56:05 [router.go:797] [D] | GET        | /status                                  | 584.441µs        | match      | /status                                  | 
2018/09/18 14:56:19 [router.go:797] [D] | GET        | /status                                  | 97.71µs          | match      | /status                                  | 
2018/09/18 14:56:19 [router.go:797] [D] | GET        | /status                                  | 212.419µs        | match      | /status                                  | 
2018/09/18 15:04:09 [router.go:797] [D] | GET        | /status                                  | 210.849µs        | match      | /status                                  | 
2018/09/18 15:04:09 [router.go:797] [D] | GET        | /status                                  | 99.821µs         | match      | /status                                  | 
2018/09/18 15:04:19 [router.go:797] [D] | GET        | /status                                  | 115.34µs         | match      | /status                                  | 
2018/09/18 15:04:19 [router.go:797] [D] | GET        | /status                                  | 195.22µs         | match      | /status                                  | 
2018/09/18 15:05:02 [router.go:797] [D] | GET        | /status                                  | 521.83µs         | match      | /status                                  | 
2018/09/18 15:05:02 [router.go:797] [D] | GET        | /status                                  | 412.898µs        | match      | /status                                  | 
2018/09/18 15:06:28 [router.go:797] [D] | GET        | /status                                  | 107.842µs        | match      | /status                                  | 
2018/09/18 15:06:28 [router.go:797] [D] | GET        | /status                                  | 208.961µs        | match      | /status                                  | 
2018/09/18 15:26:41 [router.go:797] [D] | GET        | /status                                  | 172.751µs        | match      | /status                                  | 
2018/09/18 15:26:41 [router.go:797] [D] | GET        | /status                                  | 719.387µs        | match      | /status                                  | 
2018/09/18 15:37:02 [router.go:797] [D] | GET        | /status                                  | 133.754µs        | match      | /status                                  | 
2018/09/18 15:37:02 [router.go:797] [D] | GET        | /status                                  | 174.01µs         | match      | /status                                  | 
2018/09/18 15:37:51 [router.go:797] [D] | GET        | /status                                  | 95.748µs         | match      | /status                                  | 
2018/09/18 15:37:51 [router.go:797] [D] | GET        | /status                                  | 202.101µs        | match      | /status                                  | 
2018/09/18 15:38:09 [router.go:797] [D] | GET        | /status                                  | 106.199µs        | match      | /status                                  | 
2018/09/18 15:38:09 [router.go:797] [D] | GET        | /status                                  | 173.521µs        | match      | /status                                  | 
2018/09/18 15:39:08 [router.go:797] [D] | GET        | /status                                  | 94.557µs         | match      | /status                                  | 
2018/09/18 15:39:08 [router.go:797] [D] | GET        | /status                                  | 176.452µs        | match      | /status                                  | 
2018/09/18 15:40:30 [router.go:797] [D] | GET        | /status                                  | 73.884µs         | match      | /status                                  | 
2018/09/18 15:40:30 [router.go:797] [D] | GET        | /status                                  | 166.358µs        | match      | /status                                  | 
2018/09/18 15:42:34 [router.go:797] [D] | GET        | /status                                  | 97.607µs         | match      | /status                                  | 
2018/09/18 15:42:34 [router.go:797] [D] | GET        | /status                                  | 152.455µs        | match      | /status                                  | 
2018/09/18 15:42:53 [router.go:797] [D] | GET        | /status                                  | 239.684µs        | match      | /status                                  | 
2018/09/18 15:42:53 [router.go:797] [D] | GET        | /status                                  | 228.538µs        | match      | /status                                  | 
2018/09/18 15:43:13 [router.go:797] [D] | GET        | /status                                  | 1.612606ms       | match      | /status                                  | 
2018/09/18 15:43:13 [router.go:797] [D] | GET        | /status                                  | 227.363µs        | match      | /status                                  | 
2018/09/18 15:44:06 [router.go:797] [D] | GET        | /status                                  | 78.559µs         | match      | /status                                  | 
